"Company Name",Website,"Job Title","Job URL"
"GXO Logistics, Inc",https://gxo.com/,"Inventory Specialist - Multiple Shifts",https://jobs.gxo.com/job/West-Jefferson-Inventory-Specialist-Multiple-Shifts-OH-43162/1202472500/
"GXO Logistics, Inc",https://gxo.com/,"Stock Team leader",https://jobs.gxo.com/job/Northampton-Stock-Team-leader/1202321900/
"GXO Logistics, Inc",https://gxo.com/,"Reverse Logistics Operations Supervisor - 2nd Shift",https://jobs.gxo.com/job/Pryor-Reverse-Logistics-Operations-Supervisor-2nd-Shift-OK-74361/1202520600/
"GXO Logistics, Inc",https://gxo.com/,"HR & Payroll Administrator",https://jobs.gxo.com/job/West-Hallam-HR-&-Payroll-Administrator/1202463300/
"GXO Logistics, Inc",https://gxo.com/,"Operations Manager - 1st Shift",https://jobs.gxo.com/job/Pryor-Operations-Manager-1st-Shift-OK-74361/1202527900/
"GXO Logistics, Inc",https://gxo.com/,"Warehouse Supervisor - 3rd Shift",https://jobs.gxo.com/job/Florence-Warehouse-Supervisor-3rd-Shift-KY-41042/1202224700/
"GXO Logistics, Inc",https://gxo.com/,"Drivers Mate",https://jobs.gxo.com/job/Chester-Drivers-Mate/1202501300/
"GXO Logistics, Inc",https://gxo.com/,"Inventory Specialist - 3rd Shift",https://jobs.gxo.com/job/Manchester-Inventory-Specialist-3rd-Shift-NH-03101/1202658400/
"GXO Logistics, Inc",https://gxo.com/,"HR Advisor",https://jobs.gxo.com/job/Barnsley-HR-Advisor/1202504200/
"GXO Logistics, Inc",https://gxo.com/,"Class 2 Grab Driver",https://jobs.gxo.com/job/Norwich-Class-2-Grab-Driver/1202495000/
"GXO Logistics, Inc",https://gxo.com/,"Robotics Technician - 3rd Shift",https://jobs.gxo.com/job/Palmyra-Robotics-Technician-3rd-Shift-PA-17078/1202327900/
"GXO Logistics, Inc",https://gxo.com/,"Warehouse Operations Supervisor - 1st Shift",https://jobs.gxo.com/job/Omaha-Warehouse-Operations-Supervisor-1st-Shift-NE-68138/1202591200/
"GXO Logistics, Inc",https://gxo.com/,"Operations Supervisor - Weekend 1st Shift",https://jobs.gxo.com/job/Omaha-Operations-Supervisor-Weekend-1st-Shift-NE-68138/1202594700/
"GXO Logistics, Inc",https://gxo.com/,"Warehouse Administrator",https://jobs.gxo.com/job/Wellingborough-Warehouse-Administrator/1202350800/
"GXO Logistics, Inc",https://gxo.com/,"Senior Accountant - Hybrid, Irving, TX",https://jobs.gxo.com/job/Irving-Senior-Accountant-Hybrid%2C-Irving%2C-TX-TX-75063/1202722600/
"GXO Logistics, Inc",https://gxo.com/,"Maintenance Technician II - 3rd Shift",https://jobs.gxo.com/job/Palmyra-Maintenance-Technician-II-3rd-Shift-PA-17078/1202326600/
"GXO Logistics, Inc",https://gxo.com/,"WH Lead - Weekend Day Shift",https://jobs.gxo.com/job/Pryor-WH-Lead-Weekend-Day-Shift-OK-74361/1168113500/
